query_id,student_id,question_text,question_hash,difficulty,solution_id,was_cache_hit,asked_at
1,13,Describe the relationship between Graph Algorithms and related concepts.,3524d4ea36ed033942628b73a5da2747e033d2fe9e15ab3cb71802aaf4320810,advanced,57,f,2026-01-29 03:59:10+05:30
2,18,Give an example that demonstrates Newton's Laws.,fa1a56e198defc8fd5026ca52e729f1cbe703a19d173a9fe0be94e27adaf92dc,advanced,85,f,2026-03-26 02:09:24+05:30
3,6,Describe the relationship between Dynamic Programming and related concepts.,f9a5e1c31a1dc7e2bcf4ad1ac7e475e7b4f45598e33cc57e1fc9f339b2c344bd,foundational,63,f,2026-04-08 14:12:39+05:30
4,13,Describe the relationship between Dynamic Programming and related concepts.,f9a5e1c31a1dc7e2bcf4ad1ac7e475e7b4f45598e33cc57e1fc9f339b2c344bd,foundational,63,f,2026-04-16 15:51:45+05:30
5,16,Give an example that demonstrates Newton's Laws.,fa1a56e198defc8fd5026ca52e729f1cbe703a19d173a9fe0be94e27adaf92dc,advanced,85,f,2026-04-07 00:08:48+05:30
6,16,Give an example that demonstrates Query Optimization.,291a9bec1c4091b9d46d204a4cda5d4faec8d38b7443d09c9e11fe22148f0ded,intermediate,61,f,2026-01-11 16:18:08+05:30
7,2,Describe the relationship between Network Security and related concepts.,120612cd2a4bc5328c2794e25b808461e3fdca2a9d6d2be4b2af6e971b8c66f4,foundational,51,t,2026-04-17 18:19:30+05:30
8,13,Describe the relationship between Gradient Descent and related concepts.,a41f02b20d0837989b9db35794c07badbd608c52d9ffae761dfe0efedbcbab96,foundational,79,f,2026-04-22 13:46:43+05:30
9,10,What are common mistakes when implementing Graph Algorithms?,b2d294da96f0e3bbabd5e7f5b8931fc8f1b02e5a6382e3b4fab7212438971c48,intermediate,42,t,2026-03-16 06:56:04+05:30
10,5,What is the mathematical foundation of Electromagnetic Waves?,09f920d503077b0aea8af322ea657f3812993ab30e83183acd6c50bb588a0df9,advanced,47,t,2026-04-22 12:24:58+05:30
11,1,How is Gradient Descent applied in real-world systems?,227417da32fb2498821029991f3cb13526edefedce7beab724d23d48d4964aca,intermediate,98,f,2026-03-20 20:34:32+05:30
12,4,Explain the key concepts of Neural Networks.,831c32a486828b4eccc7d62ce07c055585f2f231851f6e7eb1593bd240a7a829,advanced,55,t,2026-01-24 16:42:22+05:30
13,12,Explain the key concepts of Maxwell's Equations.,3c13691aa7dc1a4c62a5b633b27da84dabd468ba9ee2ae4bcccb756810cba18d,intermediate,8,f,2025-12-19 09:47:58+05:30
14,10,What is the time complexity of Bayesian Inference?,751f3daee2d42d5d34ba6d361c65f94ad26f93ef81e8f6505cf82c90599a7b00,foundational,76,t,2026-03-16 07:35:30+05:30
