solution_id,question_hash,difficulty,answer_text,model_name,generated_at
1,1789d47719fe2cad71a9119927bbf593604ae550af32787cf2f79fd3a45fe5d0,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Hash Tables: Universal hashing selects a hash function randomly from a family of functions, providing probabilistic guarantees against adversarial inputs. This prevents the O(n) worst case that a fixed hash function might encounter.",gpt-4o,2026-03-26 15:54:30+05:30
2,6ffd36670b06f57bae16880ae70fb1a9d8c742735fa5e526d6642bd8c3a192a9,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Hypothesis Testing: Multiple testing correction is necessary when performing many simultaneous tests. The Bonferroni correction divides alpha by the number of tests; the Benjamini-Hochberg procedure controls the false discovery rate.",gpt-4o-mini,2025-11-15 03:26:58+05:30
3,123672ccab9616c2fa8426563cdee66df964c03bf7705bde12b96b804af4fcde,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Newton's Laws: Free body diagrams isolate an object and show all forces acting on it: gravity, normal force, friction, tension, applied forces. Resolving into components along chosen axes converts to scalar equations for solution.",gpt-4o-mini,2025-11-24 03:00:03+05:30
4,207520335cf6341e7c86e36af38060468cd3294e12b4a276f01a9529b5413a54,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Indexing Strategies: A B-tree index maintains sorted data in a balanced tree structure, supporting equality and range lookups in O(log n) time. It is the default index type in most relational databases.",gpt-4o-mini,2026-01-25 22:40:37+05:30
5,c4c24e01a56e0975dfaf62e72f3a6c0b6786c342f4df40db8a4c8ea910765cd9,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Indexing Strategies: Hash indexes provide O(1) equality lookups but do not support range queries or ordering. They are useful for exact-match workloads like cache key lookups and equality joins.",claude-3-haiku,2026-03-15 08:42:48+05:30
6,4f4c135446441c7e75ded37a22df5eb8885e2554daa800906a74154f2944a48a,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Binary Search Trees: The worst-case time complexity of BST operations degrades to O(n) when the tree becomes skewed. Self-balancing variants like AVL trees and Red-Black trees maintain O(log n) guarantees by enforcing height constraints after each modification.",claude-3-haiku,2026-01-12 11:23:07+05:30
7,945ea435fdc5db89d9ddd2cf2abb6678d2d0a04107b52632ed83518739858b51,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Conservation of Energy: Non-conservative forces like friction convert mechanical energy to thermal energy. The work done by friction equals the decrease in mechanical energy: W_friction = Delta(KE) + Delta(PE).",claude-3-haiku,2026-02-22 17:59:58+05:30
8,3c13691aa7dc1a4c62a5b633b27da84dabd468ba9ee2ae4bcccb756810cba18d,intermediate,"Based on the retrieved source materials, here is a intermediate-level explanation of Maxwell's Equations: Ampere's law with Maxwell's correction states that the curl of B equals mu_0*(J + epsilon_0 * dE/dt). The displacement current term dE/dt was Maxwell's key insight predicting electromagnetic waves.",claude-3-haiku,2025-11-06 00:36:37+05:30
9,340b40300fc733e60f0b70922bb26dce3168af163b78a1d49fb8db7efdc5319e,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of TCP/IP Protocol: TCP flow control uses a sliding window mechanism where the receiver advertises its available buffer space. The sender limits unacknowledged data to the window size, preventing receiver buffer overflow.",claude-3-haiku,2025-11-14 18:11:09+05:30
10,e43ca9c991bdedb4be65f832603c8ed6892d3e578bfca732e7cc22a1849ab8e7,advanced,"Based on the retrieved source materials, here is a advanced-level explanation of Electromagnetic Waves: An electromagnetic wave consists of oscillating electric and magnetic fields perpendicular to each other and to the direction of propagation. The fields are in phase and satisfy E/B = c.",claude-3-haiku,2026-04-20 04:58:47+05:30
